id,csv_ingredient,base_type,protein_type,vegetable_type
239,"beef
green banana
onion
tomato
coriander leaves
potato
salt
cooking fat
water",,,tomatoes
240,"beef
green banana
onion
tomato
coriander leaves
potato
salt
cooking fat
water",,,onions
241,"beef
green banana
onion
tomato
coriander leaves
potato
salt
cooking fat
water",,,dhania
242,"whole maize flour
water",ugali,,
243,"whole maize flour
finger millet flour
water",ugali,,
244,"whole maize flour
red sorghum flour
finger millet
water",ugali,,
245,"cassava flour
red sorghum flour
water",chapati,,
246,"maize flour
water",ugali,,
247,"red sorghum flour
finger millet flour
maize flour
water",ugali,,
248,"cassava flour
water",chapati,,
249,"cassava flour
finger millet flour
sorghum flour
water",chapati,,
250,"teff flour
red sorghum flour
fermented milk
salt
ghee
water",chapati,,
251,"banana green
maize flour
water",ugali,,
252,"wheat flour
water
sugar
salt
cooking oil",chapati,,
253,"wheat flour
water
sugar",chapati,,
254,"wheat flour
salt
water
cooking oil
cow ghee",chapati,,
255,"wheat flour
salt
sugar
ghee
cooking oil
fenugreek leaves
natural yoghurt
water
coriander",chapati,,
256,"semolina flour
cow ghee
cow milk
sugar
pistachio nut
almond
cardamon",chapati,,
